JenisSurat,Perihal,Dari/Untuk,Tipe,Teks_Input_Gabungan,Kategori_Target
Keluar,Penunjukan Kas Kecil Kesekretariatan,Corporate Secretary;,11 - Surat Dinas,keluar penunjukan kas kecil kesekretariatan corporate secretary,SURAT DINAS
Keluar,Permohonan Peminjaman BANDROS,Kepala Dinas Pemprov JABAR;,12 - Surat Dinas,keluar permohonan peminjaman bandros kepala dinas pemprov jabar,SURAT DINAS
Keluar,Surat Perintah Kerja Leonard Greeber,setper;,13 - Surat Dinas,keluar surat perintah kerja leonard greeber setper,SURAT DINAS
Keluar,Permohonan Peminjaman Bandros,Kepala Blud Angkutan Dinas Perhubungan Kota Bandung;,14 - Surat Dinas,keluar permohonan peminjaman bandros kepala blud angkutan dinas perhubungan kota bandung,SURAT DINAS
Keluar,Adendum Perjanjian Kerja Sama antara Shopee Internasional Indonesia dengan PT Pos Indonesia (Persero) tentang Layanan Pengiriman Barang,SVP Retail Business;,15 - SPK dan PKS,keluar adendum perjanjian kerja sama antara shopee internasional indonesia dengan pt pos indonesia persero tentang layanan pengiriman barang svp retail business,SPK DAN PKS
Keluar,Perjanjian Kerja Waktu Tertentu antara PT Pos Indonesia (Persero) dengan Riano Bayu Satria sebagai Tenaga Kerja Profesional Perusahaan,Direktur Business Development dan Portofolio Management;,16 - SPK dan PKS,keluar perjanjian kerja waktu tertentu antara pt pos indonesia persero dengan riano bayu satria sebagai tenaga kerja profesional perusahaan direktur business development dan portofolio management,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara PT Tauba Zakka Atkia dengan PT Pos Indonesia (Persero) tentang Fronting Layanan Perjalanan Haji Khusus  Umrah  dan Wisata Muslim melalui PT Pos Indonesia (Persero),Direktur Bisnis Jasa Keuangan;,17 - SPK dan PKS,keluar perjanjian kerja sama antara pt tauba zakka atkia dengan pt pos indonesia persero tentang fronting layanan perjalanan haji khusus umrah dan wisata muslim melalui pt pos indonesia persero direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Perjanjian Kerja Waktu Tertentu antara PT Pos Indonesia (Persero) dengan Yus Yudiswara sebagai Tenaga kerja Profesional Perusahaan,Direktur Keuangan dan Manajemen Risiko;,18 - SPK dan PKS,keluar perjanjian kerja waktu tertentu antara pt pos indonesia persero dengan yus yudiswara sebagai tenaga kerja profesional perusahaan direktur keuangan dan manajemen risiko,SPK DAN PKS
Keluar,Surat keputusan Direksi nomor : SK 2733/DIR-2/1222 tentang Tim Pengadaan Setempat Barang dan Jasa sub Direktorat Human Capital Services and Business Partner dan Sub Direktorat Human Capital Policy and Strategy,Direktur Human Capital Management;,19 - SK,keluar surat keputusan direksi nomor sk 2733 dir 2 1222 tentang tim pengadaan setempat barang dan jasa sub direktorat human capital services and business partner dan sub direktorat human capital policy and strategy direktur human capital management,SK
Keluar,surat dinas,P Fery Hardiman;,20 - Surat Dinas,keluar surat dinas p fery hardiman,SURAT DINAS
Keluar,Perjanjian Peminjaman Kendaraan Mitsubishi untuk Uji Jalan Ecanter di Indonesia,SVP Operation Management;,21 - SPK dan PKS,keluar perjanjian peminjaman kendaraan mitsubishi untuk uji jalan ecanter di indonesia svp operation management,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara PT Pos Indonesia (Persero) dengan PT Pintoe Sabang Iraya tentang Pengadaan Jasa Kontraktor Pelaksana Pemindahan Panel dan Genset KCU Jakarta Premier,Direktur Keuangan dan Manajemen Risiko;,22 - SPK dan PKS,keluar perjanjian kerja sama antara pt pos indonesia persero dengan pt pintoe sabang iraya tentang pengadaan jasa kontraktor pelaksana pemindahan panel dan genset kcu jakarta premier direktur keuangan dan manajemen risiko,SPK DAN PKS
Masuk,Pengembalian SDM PT Pos Indonesia (Persero) sebagai Peserta Program Talent Secondment Kementerian BUMN,Plt Sekretaris Kementerian BUMN,23 - Surat Dinas,masuk pengembalian sdm pt pos indonesia persero sebagai peserta program talent secondment kementerian bumn plt sekretaris kementerian bumn,SURAT DINAS
Masuk,Penyesuaian Upah Tahun 2023,Dewan Pengurus Pusat SPPI,24 - Surat Dinas,masuk penyesuaian upah tahun 2023 dewan pengurus pusat sppi,SURAT DINAS
Masuk,Surat Keputusan Dewan Pengurus Pusat Serikat Pekerja Pos Indonesia Nomor : 023/C3/DPP SPPI/VI/2022 tentang Perubahan Pertama atas Surat Keputusan Dewan Pengurus Pusat Serikat Pekerja Pos Indonesia Nomor : 144/C3/DPP SPPI/V/1121 tanggal 11 November 2021 tentang Pengesahan dan Penetapan Dewan Pengurus Wilayah I Serikat Pekerja Pos Indonesia Sumatera Utara- Aceh Periode Tahun 2021- 2026,Dewan Pengurus Pusat SPPI,25 - SK,masuk surat keputusan dewan pengurus pusat serikat pekerja pos indonesia nomor 023 c3 dpp sppi vi 2022 tentang perubahan pertama atas surat keputusan dewan pengurus pusat serikat pekerja pos indonesia nomor 144 c3 dpp sppi v 1121 tanggal 11 november 2021 tentang pengesahan dan penetapan dewan pengurus wilayah i serikat pekerja pos indonesia sumatera utara aceh periode tahun 2021 2026 dewan pengurus pusat sppi,SK
Masuk,Permohonan Kerjasama Sewa Menyewa Ruangan,KSPPS KOSPPI,26 - Surat Dinas,masuk permohonan kerjasama sewa menyewa ruangan kspps kosppi,SURAT DINAS
Masuk,Undangan Permohonan Pembicara,Direktur PT Riung Mitra Lestari,27 - Surat Dinas,masuk undangan permohonan pembicara direktur pt riung mitra lestari,SURAT DINAS
Masuk,Permintaan Kebijaksanaan,PT Wastu Kencana,28 - Surat Dinas,masuk permintaan kebijaksanaan pt wastu kencana,SURAT DINAS
Masuk,Laporan Lanjutan atas Perkembangan Proses PKPU,Direktur PT Pos Finansial Indonesia,29 - Surat Dinas,masuk laporan lanjutan atas perkembangan proses pkpu direktur pt pos finansial indonesia,SURAT DINAS
Masuk,Surat Undangan Exclusive Excursion & Certification : Business Ecosystem Development and Execution in Company  Singapore 2023,Direktur Linxbrain Cemerlang Indonesia,30 - Surat Dinas,masuk surat undangan exclusive excursion certification business ecosystem development and execution in company singapore 2023 direktur linxbrain cemerlang indonesia,SURAT DINAS
Masuk,M&A dan Valuasi Bisnis Training,Direktur Indonesia Training Institute and Consulting Services (intrinsics),31 - Surat Dinas,masuk m a dan valuasi bisnis training direktur indonesia training institute and consulting services intrinsics,SURAT DINAS
Masuk,M&A dan Valuasi Bisnis Training,Direktur Indonesia Training Institute and Consulting Services (intrinsics),32 - Surat Dinas,masuk m a dan valuasi bisnis training direktur indonesia training institute and consulting services intrinsics,SURAT DINAS
Masuk,Permohonan Bantuan Dana Pembangunan Mushola,Panitia Pembangunan Mushola Al Fajar,33 - proposal,masuk permohonan bantuan dana pembangunan mushola panitia pembangunan mushola al fajar,PROPOSAL
Masuk,Permohonan Bantuan Dana Pembangunan Mushola,Permohonan Bantuan Dana Pembangunan Mushola,34 - proposal,masuk permohonan bantuan dana pembangunan mushola permohonan bantuan dana pembangunan mushola,PROPOSAL
Masuk,Ucapan Terima Kasih,Plt Sestama Bakamla RI  Deputi Kebijakan dan Strategi  Kepala Badan Keamanan Laut RI,35 - Surat Dinas,masuk ucapan terima kasih plt sestama bakamla ri deputi kebijakan dan strategi kepala badan keamanan laut ri,SURAT DINAS
Masuk,Undangan Expose Persiapan Assessment GCG,Plt Kepala Perwakilan BPKP Perwakilan Provinsi Jawa Barat,36 - Surat Dinas,masuk undangan expose persiapan assessment gcg plt kepala perwakilan bpkp perwakilan provinsi jawa barat,SURAT DINAS
Masuk,Penyampaian Laporan Tahunan Anti Pencucian Uang dan Pencegahan Pendanaan Terorisme (APU dan PPT) serta Risk Based Approach (RBA),Deputi Direktur Kantor Perwakilan Bank Indonesia Provinsi Jawa Barat,37 - Surat Dinas,masuk penyampaian laporan tahunan anti pencucian uang dan pencegahan pendanaan terorisme apu dan ppt serta risk based approach rba deputi direktur kantor perwakilan bank indonesia provinsi jawa barat,SURAT DINAS
Keluar,Keputusan Direksi tentang Kebijakan dan Pedoman Umum Penerapan Manajemen Risiko PT Pos Indonesia (Persero),Direktur Utama;,39 - KD,keluar keputusan direksi tentang kebijakan dan pedoman umum penerapan manajemen risiko pt pos indonesia persero direktur utama,KD
Keluar,Keputusan Direksi Nomor : KD.101/DIRUT/1222 tentang Pemeriksaan Periodik di Unit Pelaksana Teknis,Direktur Utama;,40 - KD,keluar keputusan direksi nomor kd 101 dirut 1222 tentang pemeriksaan periodik di unit pelaksana teknis direktur utama,KD
Keluar,Perubahan atas Perjanjian Kerja Sama Nomor : PKS251/DIR-4/1021 antara PT Pos Indonesia (Persero) dengan PT Bank Central Asia Tbk tentang Pemanfaatan Layanan Weselpos Instan,Direktur Bisnis Jasa Keuangan;,43 - SPK dan PKS,keluar perubahan atas perjanjian kerja sama nomor pks251 dir 4 1021 antara pt pos indonesia persero dengan pt bank central asia tbk tentang pemanfaatan layanan weselpos instan direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Perubahan atas Perjanjian Kerja Sama Nomor : PKS 144/SVP Financial Service/0722 antara PT Pos Indonesia (Persero) dengan PT Bank Central Asia Tbk tentang Layanan Wesel Pos Transfer Tunai,SVP Sales and Marketing Financial Service;,44 - SPK dan PKS,keluar perubahan atas perjanjian kerja sama nomor pks 144 svp financial service 0722 antara pt pos indonesia persero dengan pt bank central asia tbk tentang layanan wesel pos transfer tunai svp sales and marketing financial service,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara PT Nalendra Halilintar Samudra dengan PT Pos Indonesia (Persero) tentang Pengiriman Barang PT Pos Indonesia (Persero) dengan Ekosistem Kendaraan Listrik,Direktur Operasi dan Digital Services;,45 - SPK dan PKS,keluar perjanjian kerja sama antara pt nalendra halilintar samudra dengan pt pos indonesia persero tentang pengiriman barang pt pos indonesia persero dengan ekosistem kendaraan listrik direktur operasi dan digital services,SPK DAN PKS
Keluar,Perjanjian Kerahasiaan (NDA) antara PT Pos Indonesia (Persero) dengan Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk tentang Pemanfaatan Giropos pada Platform Pembayaran Telkom,SVP Sales and Marketing Financial Services;,46 - SPK dan PKS,keluar perjanjian kerahasiaan nda antara pt pos indonesia persero dengan perusahaan perseroan persero pt telekomunikasi indonesia tbk tentang pemanfaatan giropos pada platform pembayaran telkom svp sales and marketing financial services,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara Yayasan Lembaga Amil Zakat  Infak dan Shadaqoh Nahdlatul Ulama (Lazisnu) dengan PT Pos Indonesia (Persero) tentang Layanan Pengumpulan Zakat  Infak  Sedekah dan Donasi melalui PT Pos Indonesia (Persero),SVP Sales and Marketing Financial Services;,48 - SPK dan PKS,keluar perjanjian kerja sama antara yayasan lembaga amil zakat infak dan shadaqoh nahdlatul ulama lazisnu dengan pt pos indonesia persero tentang layanan pengumpulan zakat infak sedekah dan donasi melalui pt pos indonesia persero svp sales and marketing financial services,SPK DAN PKS
Keluar,Izin Melakukan Penelitian,Direktur Program Pasca Sarjana Universitas Garut;,49 - Surat Dinas,keluar izin melakukan penelitian direktur program pasca sarjana universitas garut,SURAT DINAS
Masuk,Iklan Kemitraan HUT ke 50 PT ASDP Indonesia Ferry (Persero),Pengurus Badan Pembina Pensiunan Pegawai (BP-3) Perhubungan,50 - Surat Dinas,masuk iklan kemitraan hut ke 50 pt asdp indonesia ferry persero pengurus badan pembina pensiunan pegawai bp 3 perhubungan,SURAT DINAS
Masuk,Strategi Mencapai Target 2023 Melalui Executive Coaching,Profesional Executive Coach Cipta Performa Indonesia,51 - Surat Dinas,masuk strategi mencapai target 2023 melalui executive coaching profesional executive coach cipta performa indonesia,SURAT DINAS
Masuk,Somasi,Kantor Hukum Idang Riyadi & Partners,52 - Surat Dinas,masuk somasi kantor hukum idang riyadi partners,SURAT DINAS
Masuk,1. Tanggapan Komisaris atas Laporan Manajemen Bulan Oktober 2022 PT Pos Logistik Indonesia 2. Laporan Pelaksanaan Tugas Pengawasan Dewan Komisaris bulan Oktober 2022,Komisaris Utama PT Pos Logistik Indonesia,53 - Surat Dinas,masuk 1 tanggapan komisaris atas laporan manajemen bulan oktober 2022 pt pos logistik indonesia 2 laporan pelaksanaan tugas pengawasan dewan komisaris bulan oktober 2022 komisaris utama pt pos logistik indonesia,SURAT DINAS
Masuk,Penawaran Kegiatan Vaksinasi Corporate Social Responsibility (CSR) tahun 2023,Direktur Portofolio  Produk dan Layanan Kimia Farma,54 - Surat Dinas,masuk penawaran kegiatan vaksinasi corporate social responsibility csr tahun 2023 direktur portofolio produk dan layanan kimia farma,SURAT DINAS
Masuk,Permohonan Sponsorship HPN 2023,Panitia Pusat Hari Pers Nasional (HPN) 2023,55 - proposal,masuk permohonan sponsorship hpn 2023 panitia pusat hari pers nasional hpn 2023,PROPOSAL
Masuk,Permohonan Sponsorship HPN 2023,Panitia Pusat Hari Pers Nasional (HPN) 2023,56 - proposal,masuk permohonan sponsorship hpn 2023 panitia pusat hari pers nasional hpn 2023,PROPOSAL
Masuk,Proposal Program Pelatihan dan Sertifikasi BNSP Manajer SDM,Direktur PT Hasanah Raya Cipta,57 - Surat Dinas,masuk proposal program pelatihan dan sertifikasi bnsp manajer sdm direktur pt hasanah raya cipta,SURAT DINAS
Masuk,Sponsor WISCA 2023,National Representative Indonesia Office Prosafe Institute-World Safety Organization,58 - proposal,masuk sponsor wisca 2023 national representative indonesia office prosafe institute world safety organization,PROPOSAL
Masuk,Undangan Rapat Koordinasi Tahun 2023,Deputi Bidang Pelaporan dan Pengawasan Kepatuhan PPATK,59 - Surat Dinas,masuk undangan rapat koordinasi tahun 2023 deputi bidang pelaporan dan pengawasan kepatuhan ppatk,SURAT DINAS
Masuk,Surat Pemberitahuan Pemenang Indonesia Excellence Good Corporate Governance Awards 2023 : Managing a High Level of Company Performance in GCG Ethics,CEO & Chief Editor PT Kuadran Satu Komunika (Warta Ekonomi.co.id),60 - Surat Dinas,masuk surat pemberitahuan pemenang indonesia excellence good corporate governance awards 2023 managing a high level of company performance in gcg ethics ceo chief editor pt kuadran satu komunika warta ekonomi co id,SURAT DINAS
Masuk,Permohonan Kerjasama Pencarian Sponsorship,Barunastra Roboboat Its Team,61 - Surat Dinas,masuk permohonan kerjasama pencarian sponsorship barunastra roboboat its team,SURAT DINAS
Masuk,Mohon Bantuan Donasi Bhakti Sosial Peduli Kasih Anak Indonesia di Bulan Ramadhan 1444H,Yayasan Bina Insan Nusantara (YABINA),62 - Surat Dinas,masuk mohon bantuan donasi bhakti sosial peduli kasih anak indonesia di bulan ramadhan 1444h yayasan bina insan nusantara yabina,SURAT DINAS
Masuk,Surat Konfirmasi tentang Pekerjaan Fitur Tandatangan Digital pada Aplikasi Nota Dinas Elektronik,Manager Enterprise Service,63 - Surat Dinas,masuk surat konfirmasi tentang pekerjaan fitur tandatangan digital pada aplikasi nota dinas elektronik manager enterprise service,SURAT DINAS
Masuk,Laporan Pengembalian Barang Bukti Kasus Tipikor di PT Pos Finansial Indonesia,Direktur PT Pos Finansial Indonesia,64 - Surat Dinas,masuk laporan pengembalian barang bukti kasus tipikor di pt pos finansial indonesia direktur pt pos finansial indonesia,SURAT DINAS
Masuk,"Undangan Iklan Kemitraan ""Selamat dan Sukses Milad ke-2 Bank Syariah Indonesia""",GM of Sales PT Media Nusantara Informasi (MNC Portal),65 - Surat Dinas,masuk undangan iklan kemitraan selamat dan sukses milad ke 2 bank syariah indonesia gm of sales pt media nusantara informasi mnc portal,SURAT DINAS
Masuk,Permohonan Audiensi,Pengurus Aliansi UMKM Bandung Raya,66 - Surat Dinas,masuk permohonan audiensi pengurus aliansi umkm bandung raya,SURAT DINAS
Keluar,Izin Melakukan Magang,Wakil Dekan 1 Telkom University;,67 - Surat Dinas,keluar izin melakukan magang wakil dekan 1 telkom university,SURAT DINAS
Masuk,Undangan Partisipasi Banjarnegara UMKM Expo dan Festival Produk Lokal 2023,Bupati Banjarnegara,68 - Surat Dinas,masuk undangan partisipasi banjarnegara umkm expo dan festival produk lokal 2023 bupati banjarnegara,SURAT DINAS
Masuk,Undangan Partisipasi Purworejo Expo 2023,Bupati Purworejo,69 - Surat Dinas,masuk undangan partisipasi purworejo expo 2023 bupati purworejo,SURAT DINAS
Masuk,"Penerbitan ""Booklet Layanan Informasi Protokol Kesehatan Kereta Api dalam rangka Menyambut Idul Fitri 1444H Tahun 2023""",a.n Dewan Pengurus Pusat Serikat Pekerja Kereta Api,70 - Surat Dinas,masuk penerbitan booklet layanan informasi protokol kesehatan kereta api dalam rangka menyambut idul fitri 1444h tahun 2023 a n dewan pengurus pusat serikat pekerja kereta api,SURAT DINAS
Keluar,Keputusan Direksi tentang Pembangunan dan Implementasi Super-app Human Capital Management di PT Pos Indonesia (Persero),Direktur HC Management;,72 - KD,keluar keputusan direksi tentang pembangunan dan implementasi super app human capital management di pt pos indonesia persero direktur hc management,KD
Keluar,Keputusan Direksi tentang Perubahan Pertama Atas Keputusan Direksi PT Pos Indonesia (Persero) Nomor KD.010/DIR-2/2022 tentang Uang Cuti Tahunan,Direktur HC Management;,73 - KD,keluar keputusan direksi tentang perubahan pertama atas keputusan direksi pt pos indonesia persero nomor kd 010 dir 2 2022 tentang uang cuti tahunan direktur hc management,KD
Keluar,Surat Edaran Nomor : SE001/DIR-4/0123 tentang Tata Kelola Penjualan Meterai Tempel,Direktur Bisnis Jasa Keuangan;,74 - SE,keluar surat edaran nomor se001 dir 4 0123 tentang tata kelola penjualan meterai tempel direktur bisnis jasa keuangan,SE
Keluar,Surat Perintah Kerja dan Perjanjian Kerja Sama antara PT Pos Indonesia (Persero) dengan PT Infomedia Nusantara tentang Pengadaan Jasa Pengelolaan Contact Center Tahun 2023,Direktur Operasi dan Digital Services;,75 - SPK dan PKS,keluar surat perintah kerja dan perjanjian kerja sama antara pt pos indonesia persero dengan pt infomedia nusantara tentang pengadaan jasa pengelolaan contact center tahun 2023 direktur operasi dan digital services,SPK DAN PKS
Keluar,Perbaikan dan Tambahan Data untuk Permohonan Persetujuan Penghapusbukuan dan Pemindahtanganan sebagian Aktiva Tetap Tanah dan Bangunan KCP Sekip Ujung Palembang 30114a,Direktur Utama;,76 - Surat Dinas,keluar perbaikan dan tambahan data untuk permohonan persetujuan penghapusbukuan dan pemindahtanganan sebagian aktiva tetap tanah dan bangunan kcp sekip ujung palembang 30114a direktur utama,SURAT DINAS
Keluar,Keputusan Direksi Nomor KD.002/DIR-4/0123 tentang FILATELI,Direktur Bisnis Jasa Keuangan;,77 - KD,keluar keputusan direksi nomor kd 002 dir 4 0123 tentang filateli direktur bisnis jasa keuangan,KD
Keluar,SPPD a.n Michelle Safira,Manajer Rumah Tangga;,78 - Surat Dinas,keluar sppd a n michelle safira manajer rumah tangga,SURAT DINAS
Keluar,SPPD a.n Michelle Safira,Manajer Rumah Tangga;,79 - Surat Dinas,keluar sppd a n michelle safira manajer rumah tangga,SURAT DINAS
Keluar,Risalah Radir 17 Januari 2023,Direktur Utama;Anggita Direksi;,80 - risalah,keluar risalah radir 17 januari 2023 direktur utama anggita direksi,RISALAH
Keluar,Permintaan ATK,Manajer Rumah Tangga;,81 - Surat Dinas,keluar permintaan atk manajer rumah tangga,SURAT DINAS
Keluar,Surat Permohonan Penarikan Fasilitas Kredit/Perpanjangan Pembayaran (SPPFK) sehubungan Perpanjangan Waktu Pembayaran.,Direktur Keuangan dan Manajemen Risiko;,83 - Surat Dinas,keluar surat permohonan penarikan fasilitas kredit perpanjangan pembayaran sppfk sehubungan perpanjangan waktu pembayaran direktur keuangan dan manajemen risiko,SURAT DINAS
Masuk,Penerbitan Buku 101 Rimbawan Hebat,Ketua Pelaksana Pengurus Pusat Perkumpulan Pensiunan Kehutanan Indonesia,84 - Surat Dinas,masuk penerbitan buku 101 rimbawan hebat ketua pelaksana pengurus pusat perkumpulan pensiunan kehutanan indonesia,SURAT DINAS
Masuk,Permohonan Donatur,Ketua Yayasan Nurani Bangsa/masjid Al Amanah Nurani Bangsa,85 - proposal,masuk permohonan donatur ketua yayasan nurani bangsa masjid al amanah nurani bangsa,PROPOSAL
Masuk,Permohonan Sponsorship/Donatur,Lembaga Perlindungan Konsumen Swadaya Masyarakat,86 - proposal,masuk permohonan sponsorship donatur lembaga perlindungan konsumen swadaya masyarakat,PROPOSAL
Masuk,Permohonan Kerja Sama,Pembina UKM Jama`ah Shalahuddin UGM,87 - Surat Dinas,masuk permohonan kerja sama pembina ukm jama ah shalahuddin ugm,SURAT DINAS
Masuk,Sinkronisasi dan Evaluasi Program Kegiatan Tanggung Jawab Sosial dan Lingkungan (TJSL) Perusahaan di Kota Bandung,Wali Kota Bandung,88 - Surat Dinas,masuk sinkronisasi dan evaluasi program kegiatan tanggung jawab sosial dan lingkungan tjsl perusahaan di kota bandung wali kota bandung,SURAT DINAS
Masuk,confirmation KAP Paul Hadiwinata  Hidajat  Arsono  Retno  Palilingan & Rekan,Chief Financial Officer PT Pos Finansial Indonesia,89 - Surat Dinas,masuk confirmation kap paul hadiwinata hidajat arsono retno palilingan rekan chief financial officer pt pos finansial indonesia,SURAT DINAS
Masuk,Teguran Pertama Pungutan OJK Tahap-IV dan Denda Keterlambatan PT Pos Indonesia (Persero),Direktur Penilaian Keuangan Perusahaan Sektor Jasa  Otoritas Jasa Keuangan,90 - Surat Dinas,masuk teguran pertama pungutan ojk tahap iv dan denda keterlambatan pt pos indonesia persero direktur penilaian keuangan perusahaan sektor jasa otoritas jasa keuangan,SURAT DINAS
Masuk,Undangan Kegiatan Liaison : Perolehan Informasi Data dan Kondisi Dunia Usaha,Plt Kepala Perwakilan Bank Indonesia Provinsi Jawa Barat,91 - Surat Dinas,masuk undangan kegiatan liaison perolehan informasi data dan kondisi dunia usaha plt kepala perwakilan bank indonesia provinsi jawa barat,SURAT DINAS
Masuk,Surat Permohonan Dana Kontribusi  Kompensasi dan Tanggung Jawab Sosial dan Lingkungan (TJSL) Perusahaan/Perseroan Terbatas yang akan dikelola Lembaga Adat PASLAB Luwu Timur diperuntukan untuk Anak Suku sesuai SK,Perkumpulan Anak Suku Lokal Bersatu (PASLB) Kabupaten Luwu Timur Provinsi Sulawesi Selatan,92 - Surat Dinas,masuk surat permohonan dana kontribusi kompensasi dan tanggung jawab sosial dan lingkungan tjsl perusahaan perseroan terbatas yang akan dikelola lembaga adat paslab luwu timur diperuntukan untuk anak suku sesuai sk perkumpulan anak suku lokal bersatu paslb kabupaten luwu timur provinsi sulawesi selatan,SURAT DINAS
Masuk,Permohonan Pembukaan Kantorpos di Kecamatan Pagaran,Bupati Tapanuli Utara,93 - Surat Dinas,masuk permohonan pembukaan kantorpos di kecamatan pagaran bupati tapanuli utara,SURAT DINAS
Masuk,Undangan Pelatihan,Direktur Pelaksana PT Citra Multisolusi Indonesia,94 - Surat Dinas,masuk undangan pelatihan direktur pelaksana pt citra multisolusi indonesia,SURAT DINAS
Masuk,Undangan Pembahasan Sengketa Perpajakan,Kepala Bidang Keberatan dan Banding  Direktorat Jenderal Pajak Kementerian Keuangan RI,95 - Surat Dinas,masuk undangan pembahasan sengketa perpajakan kepala bidang keberatan dan banding direktorat jenderal pajak kementerian keuangan ri,SURAT DINAS
Masuk,Permohonan Partisipasi pada Program Prasasti Dana Abadi ITS,Rektor ITS,96 - Surat Dinas,masuk permohonan partisipasi pada program prasasti dana abadi its rektor its,SURAT DINAS
Masuk,Ketentuan Asosiasi Sistem Pembayaran Indonesia (KASPI) Nomor ASPI/K- II/6/XII/2022 tanggal 28 Desember 2022 tentang Penyusunan Materi Edukasi untuk Merchant dan Pengguna QRIS,Direktur Eksekutif Asosiasi Sistem Pembayaran Indonesia (ASPI),97 - Surat Dinas,masuk ketentuan asosiasi sistem pembayaran indonesia kaspi nomor aspi k ii 6 xii 2022 tanggal 28 desember 2022 tentang penyusunan materi edukasi untuk merchant dan pengguna qris direktur eksekutif asosiasi sistem pembayaran indonesia aspi,SURAT DINAS
Masuk,Penawaran Pelatihan Keprotokolan Negara & Master of Ceremony (MC),PT Arseta Karya Utama,98 - Surat Dinas,masuk penawaran pelatihan keprotokolan negara master of ceremony mc pt arseta karya utama,SURAT DINAS
Masuk,Penawaran Pelatihan Public Speaking,PT Arseta Karya Utama,99 - Surat Dinas,masuk penawaran pelatihan public speaking pt arseta karya utama,SURAT DINAS
Masuk,Penawaran Pelatihan Sistem Pengamanan Gedung Perkantoran  VIP Protection,PT Arseta Karya Utama,100 - Surat Dinas,masuk penawaran pelatihan sistem pengamanan gedung perkantoran vip protection pt arseta karya utama,SURAT DINAS
